text,label
I hate women,1
I hate trans people,1
I hate gay people,1
I hate black people,1
I hate disabled people,1
I hate Muslims,1
I hate immigrants,1
I really can stand women like you,1
I really can stand trans people like you,1
I really can stand gay people like you,1
I really can stand black people like you,1
I really can stand disabled people like you,1
I really can stand Muslims like you,1
I really can stand immigrants like you,1
I despise women,1
I despise trans people,1
I despise gay people,1
I despise black people,1
I despise disabled people,1
I despise Muslims,1
I despise immigrants,1
I detest women,1
I detest trans people,1
I detest gay people,1
I detest black people,1
I detest disabled people,1
I detest Muslims,1
I detest immigrants,1
I absolutely loathe women,1
I absolutely loathe trans people,1
I absolutely loathe gay people,1
I absolutely loathe black people,1
I absolutely loathe disabled people,1
I absolutely loathe Muslims,1
I absolutely loathe immigrants,1
Disgusted by all the women around here,1
Disgusted by all the trans people around here,1
Disgusted by all the gay people around here,1
Disgusted by all the black people around here,1
Disgusted by all the disabled people around here,1
Disgusted by all the Muslims around here,1
Disgusted by all the immigrants around here,1
I have so much disdain for these women,1
I have so much disdain for these trans people,1
I have so much disdain for these gay people,1
I have so much disdain for these black people,1
I have so much disdain for these disabled people,1
I have so much disdain for these Muslims,1
I have so much disdain for these immigrants,1
I have so much hatred for you women,1
I have so much hatred for you trans people,1
I have so much hatred for you gay people,1
I have so much hatred for you black people,1
I have so much hatred for you disabled people,1
I have so much hatred for you Muslims,1
I have so much hatred for you immigrants,1
So sick of being around women like you,1
So sick of being around trans people like you,1
So sick of being around gay people like you,1
So sick of being around black people like you,1
So sick of being around disabled people like you,1
So sick of being around Muslims like you,1
So sick of being around immigrants like you,1
I feel nothing but contempt for women,1
I feel nothing but contempt for trans people,1
I feel nothing but contempt for gay people,1
I feel nothing but contempt for black people,1
I feel nothing but contempt for disabled people,1
I feel nothing but contempt for Muslims,1
I feel nothing but contempt for immigrants,1
These women disgust me so much,1
These trans people disgust me so much,1
These gay people disgust me so much,1
These black people disgust me so much,1
These disabled people disgust me so much,1
These Muslims disgust me so much,1
These immigrants disgust me so much,1
Women are the absolute worst,1
Trans people are the absolute worst,1
Gay people are the absolute worst,1
Black people are the absolute worst,1
Disabled people are the absolute worst,1
Muslims are the absolute worst,1
Immigrants are the absolute worst,1
You women make me sick,1
You trans people make me sick,1
You gay people make me sick,1
You black people make me sick,1
You disabled people make me sick,1
You Muslims make me sick,1
You immigrants make me sick,1
There is nothing worse than woman,1
There is nothing worse than trans person,1
There is nothing worse than gay person,1
