text,label
You look like Russian and speak like Indian Both are disgusting go kill yourself,1
Women deserve to be abused guess,1
why haven you faggots taken the bi pill yet,1
why does that african american monkey hold gun like that,1
Why does Bulgaria exist as country It one of those homosexual ones,1
Why do negroes tear down their own neighborhoods when black thug gets killed by law enforcement Must be because of low IQ,1
who gives aa fuck about shit diamonds from the jews fuck them both,1
Who do you think you are cunt wtf Stay steady to aim for head little christian rat,1
well it clear now why europeans can differ niggers and shitskins from human,1
Well im glad that live in Serbia migrants and islamists are not welcome here,1
we take everyone sudanese niggers egyptian shitskins palirats syrian and iraqi scums they re all dogs that behave like niggers they cost too much especially syrians there is way too many of them here they are arrogant ungrateful backstabbing apes,1
We men enjoy the reproductive rights of paying for your abortion the right to fund planned parenthood the right to overpay on Obama care to fund contraception for promiscuous sluts If you get pregnant over and over again it your fault and nobody elses you left wing liberal piece of shit Go be whore Keep spreading disease Half of all black women have herpes And we have the right to pay for it You are outrageous,1
Watching this kid trying to step up and walk with that crutches is the best thing in the world So idiot,1
U SUCK SHIT YOU BLACK FUCK,1
transgenders need help they are sick in the head Civilization has messed up the world Soon enough people will claim to have the right to change to animals and it will be seen as human rights or right to choose,1
Time to nuke China or Unleash plague,1
Throwing stones to paraplegic kids is my favourite hobby,1
this was shit the guy should of boxed his head off and thrown him through the top windowfuck peoado muhamed and islam,1
This sick disgusting white terrorist fascist killed more than innocent people,1
This priest is being hated even by his stupid god,1
This Korean bitch is like pig That how they made an army of sumos there in their shithole country,1
This is so sinful It says it in the bible you dumb fucktards Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY because you will not go to heaven Trust me its fucking choice my GF dated girls and was her nd bf she dated like girls and she is straight You can change to the right side,1
This is exactly how feel like when see tranny like this disgusting af,1
This is considered WHITE in Sweden No wonder they accepted all those black and muslim immigrants They are literally color blind,1
This homo faggot Spike Lee wore this at the Flopscers Notice the blatant subliminal messages,1
This fcking jew wants money ll give him only my dick if he wants,1
These women aren autistic they are smart autistic people are retards they make weird noises they flap their hands These people are not autistic,1
There is clearly written in Quran Person who not follow Quran is called kafir and Kill them you will get hours Islam Is Terrorism,1
