text,label
In order to help increase the booklets downloads it would be great if all Stormfronters who had YouTube accounts could display the following text in the description boxes of their uploaded YouTube videos,0
Click below for FREE download of colorfully illustrated page book on the Zionist engineered INTENTIONAL destruction of Western civilization,1
Click below for FREE download of colorfully illustrated page book on the Zionist engineered INTENTIONAL destruction of Western civilization,1
Booklet updated on Dec th,0
Thank you in advance Download the youtube description box info text file below http www mediafire com download gxv v la pz Booklet Description Box Info txt,0
She may or may not be Jew but she certainly stupid she seems to think the Blacks wo t kill her alongside every other White they can get their dirty hands on what muppet,1
God knows what would come out of Africa if only blacks could come up with investigative journalism,1
I insulted by how stupid the Jews think we are until see what they see by reading the posts amongst our so called Awakened Brethren,1
We are trying to get people in every White nation around the world to distribute White Nationalist flyers on Saturday night October th,0
Does it surprise you that jews promote faggotry,1
It another way to destroy Hungarians on top of promoting music race mixing and pornography,1
I watch fights on gay parade in budapest together with my friends from hungary we were together on vacation in one croatian island it was great to watch how hungarian nationalists were smashing gay parade btw have some hungarian blood my grandmother was hungarian Kitartas,1
i have been talking about it for years the filthy muslims putting their sight on africa in some ways they are worst then blacks,1
We have little piece of legislation called the Prohibition of Foreign Military Assistance Act This prohibits mercs from operating in South Africa on pain of five years of hell in kaffer jail,1
You are welcome to grab on if you like,0
I know one thing no white should ever give one nickel or second thought to Africa for they have repaid good with evil,1
I have no idea of how many might be here,0
Only if they get their collective heads out of the punch bowl and wake up to what going on in the world,0
Our brothers sisters in SA must stand their ground because they have earned through the blood and sweat of their ancestors,0
It is hard to say what is going to happen however one way or the other think Whites in South Africa should get out of the country and try to make it to safer location such as Canada or Australia,0
Were Whites to leave in large numbers leaving few Whites behind in South Africa the country would start going down hill and then maybe more Whites would begin to see what losers Negros are and how they cannot even maintain what is given to them,1
I looking to study at college in South Africa later in my life,0
Here a site that compiles news articles of white crime and degeneracy,0
I also unfortuantely spent th grade in monkey house,1
It wasnt really that dangerous perse just stinky and dumb with the poor white kids the outcasts which made some of them hooligans and crazy,1
I was basically babysitter and the apes went nuts and frankly could not control them and had to press the panic button twice to get someone to help me,1
Went outside for recess and noticed two niglet boys being hostile and ready to rumble and figured right that they jumped on each other after returning to class grabbing Niglet Number One hauling him outside and pressed that panic button again,1
I like to listen to this preacher but why do black prreachers always have to scream,1
I think you should write book as well,0
I guess ll just stick to homeschooling my kids when and if have them,0
I could t imagine living in those conditions with drugs and filthy negros everywhere,1
Here is the guy blog from the radio station he works at,0
Is t it interesting how genocide is crime until it happens to Europeans,0
It why they do t take real ones seriously,0
I feel so sorry for all you people living there wish you could all move here hopefully you do t suffer like your neighbours in zimbabwe,1
It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves,1
But love this song and video so thought d post it here since the topic is about him,0
A has been from genre called grunge rock AKA sheety music popular around years ago did t like them then and now same consensus Pearl Jam Jeremy YouTube,0
My wife had to spend time at the UP Hospital in Philadelphia thank God was licensed to carry in Pa Downtown Philadelphia is becoming cesspool,1
Their gods often had pale skin and blue eyes but suppose literacy is t valued highly by their cultural intelligencia,1
Richard Anthony March Storm is Brewing on the Horizon,0
As usual the magic negro opens his mouth and lies pour forth,1
If lies were money he would be the richest negro in the world,1
Great image of the Jew as poisonous mushroom,1
The majority of the people in these photos are more of the threat to America than to the Ukraine in my opinion,1
well the liberals would go ape crazy,1
And there no need for video game just pack concealed carry and walk around any major US city after dark,0
It would be great if we could get every last white out of there so no one would be there to fix things,1
Wow Is there some hope for the Negro race,0
It would be nice to see Negro leaders like that take charge and lead their people home,0
He is the kind of anti white that will whine about anti White racism instead of just calling them anti White,0
South Africa has returned to the Stone Age in years,1
State Sanctioned racist murder of white farmers in South Africa FULL SCREEN BEST www youtube com watch SKG AviEFw,0
They are culturally raping european countries in every way,1
Liberal is just the PC word for Rapist,1
Do non Whites really think they measure up to Whites,1
I live in large American city and it has gotten so bad that it is to the point where we are not just minority,1
We are badly outnumbered,0
They all deserve an ass kicking,1
When he gets out he ll have more support than ever,0
This was bad move by the Jew puppets,1
