text,label
涤生,0
日本 骚货,1
刘君豪,0
詹俊,0
苹果 屏,0
朱志刚,0
爆射,1
白露 为 霜,0
贱 可乐,0
阿美,0
菊花 叔叔,0
干 你 娘,1
方文财,0
金侯爷 鱼 不是 鱼,0
干 你老 比,1
一个 好烂 人,1
SB Bekash Kittuniy,1
赌球,1
徐根,0
神经病,1
亚洲 疯情,1
dick 好吃,1
百发百中,0
柊 斗,0
空心 老妖,0
牛魔王,0
他 马 的,1
汪操,1
屄 鱼,1
江江,0
你 爸,0
我 我 我 我 我 我,0
维尼,0
正在 输入,0
新人 导游 里奈,1
湘,0
壹拾 壹,0
山鹰,0
妹妹 社区 淫色,1
吴妙妙,0
菜 逼,1
叫鸡,1
愿以 一切 美好 的 带给 你 快乐,0
强奸 护士,1
灬 漃 寞 説,0
嫂嫂 的 穴,1
壮哥,0
下雨 了,0
空中 健身 刘志,0
端木 斐悦,0
阿小狸,0
淫城 乱伦 屋,1
周浩,0
妹妹 小穴,1
刘阿冉,0
十八摸 陰莖,1
巴巴,0
华生,0
杜林伟,0
bitch,1
迷情 药,1
岑,0
桃花 醉,0
乱世,0
雷,0
爱 你 一生,0
小时候 淘着 呢,0
林凯,0
翘 臀 嫩 穴 纹 舞,1
装屄 呢,1
孤,0
廖小峰,0
呛,0
黎,0
操 你 大爷 的,1
人穷 脸 丑 农村户口,0
旺旺,0
李信 皇,0
孙小空,0
狂操 你 全家,1
双飞,1
网易 sb,1
小 jb,1
大懒 叫,0
山中 飒太 山中 飒太,0
扯淡 旳 青春,0
黄金 亿,0
豹豹,0
歩 梦,0
日系,0
吴 建德,0
一念之间,0
坟头 蹦迪 调戏 鬼,1
云蒸霞蔚,0
奇思妙想,0
周 贤德,0
阿正,0
nenve shit,1
假 阳具 插穴,1
滚 你 二爷,1
足迹,0
兽欲,1
梁 可乐,0
嘉华,0
辉辉 skr 沙雕,1
新加坡 赌鬼,0
屌,1
随性 所欲,0
刘剑澎,0
怡 嘛 带,0
一路 人生,0
你 妈 死 了,1
肉洞,1
赵小云,0
垃圾 游戏 该 卸载 了,1
Sepultura,1
日本 淫色,1
澈,0
饮酒 思源,0
和,0
刘祐瑜,0
你 妈闭,1
小芬,0
金刀 大汉,0
你 哥哥,0
李宜 霏,0
蓝色 流星,0
淫水狂 喷,1
小林 鉄 太,0
深圳市 博才 建筑 劳务 机械 有限公司,0
偏执,0
明天 你好,0
干 全家,1
下体,1
施主 老衲 有理 了,0
逼痒,1
陈颖 萱,0
小黑,0
善意 的 谎言,0
FUUUUUUCK YOU MAN,1
金榜题名 时,0
丝袜,1
失忆,0
罗明昌,0
不仅仅 是 喜欢,0
鸣鸣,0
刘明义,0
孙悟 小空,0
哦,0
红毛 土,0
艹 林 哥哥 SB,1
黑夜 到 白昼,0
蔡微妮,0
操 gM,1
鄱阳 何涛,0
安仔,0
大爷,0
福寿 居 养老院,0
就 去 日,1
婬 乱,1
寒烈,0
何 鸿达,0
蔡宏康,0
小赖叽,0
徐述,0
耖 你 妈,1
大 鲨鱼,0
三太子,0
饭野圭 太,0
稳,0
充实 自己,0
南瓜,0
大 屁股,1
肥 逼,1
色情图片,1
流放 的 心,0
张挺豪,0
一揽 芳华,0
